Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
100.00,100.00,,,27.73,1.95,0.00,1.51,43.64,20422.30,3.34,10860.00,7.01,3.54,16551.02,43.00,65300.00,55.17,23.88
100.00,100.00,,,28.96,2.32,0.00,1.68,42.00,21569.01,3.30,11070.00,7.43,2.02,14258.23,43.00,65300.00,55.17,23.88
100.00,100.00,,,31.47,1.31,0.00,2.10,61.58,22207.52,3.30,11200.00,8.97,2.52,14998.13,43.00,65300.00,55.17,23.88
100.00,100.00,,,33.78,0.82,0.00,2.53,75.52,23635.18,3.31,11220.00,10.22,4.28,16843.70,43.00,65300.00,55.17,23.88
100.00,100.00,,,33.73,0.55,0.00,2.20,80.00,24616.01,3.22,11650.00,8.70,3.99,19176.81,43.00,65300.00,55.17,23.88
100.00,100.00,,,33.53,0.67,0.00,2.47,78.66,24873.12,3.08,11730.00,9.70,4.57,19575.77,43.00,65300.00,55.17,23.88
100.00,100.00,,,,1.96,0.00,2.57,56.73,24924.74,,,10.14,-0.13,20233.64,43.00,65300.00,55.17,23.88
100.00,100.00,,,6.81,0.24,0.00,0.16,40.00,85402.43,3.35,8560.00,1.37,6.94,48538.78,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.42,0.70,0.00,0.17,19.54,90348.63,3.44,9120.00,1.25,3.07,48398.23,242.00,2586.00,49.82,6.13
100.00,100.00,,,1.32,2.65,0.00,0.15,5.36,97735.35,3.44,9820.00,1.03,3.23,52754.27,242.00,2586.00,49.82,6.13
100.00,100.00,,,1.28,2.65,0.00,0.14,5.02,101260.22,3.57,10240.00,0.92,2.62,65544.59,242.00,2586.00,49.82,6.13
100.00,100.00,,,1.35,3.18,0.00,0.19,5.64,113106.17,3.84,11660.00,1.11,4.23,76404.42,242.00,2586.00,49.82,6.13
100.00,100.00,,,1.87,3.14,0.00,0.21,6.27,113049.23,3.80,11910.00,1.17,2.48,80957.94,242.00,2586.00,49.82,6.13
100.00,100.00,,,2.08,3.29,0.00,0.25,7.06,109285.40,3.57,11720.00,1.39,6.02,90712.80,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.64,2.93,0.00,0.26,8.15,104455.21,3.20,11110.00,1.54,8.10,107338.87,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.96,2.44,0.00,0.28,10.29,101834.57,3.24,11020.00,1.65,-0.30,119932.24,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.73,2.88,0.00,0.27,8.57,95591.98,3.19,10440.00,1.64,-3.24,108987.68,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.68,2.97,0.00,0.27,8.33,98832.99,3.24,11030.00,1.55,3.76,110777.91,242.00,2586.00,49.82,6.13
100.00,100.00,,,3.76,2.40,0.00,0.24,9.09,94211.61,3.12,10900.00,1.47,1.04,118869.30,242.00,2586.00,49.82,6.13
100.00,100.00,,,4.15,2.45,0.00,0.31,11.23,90375.62,3.08,10690.00,1.85,1.65,112591.12,242.00,2586.00,49.82,6.13
100.00,100.00,,,5.72,1.48,0.00,0.36,19.57,84137.46,2.88,10150.00,2.30,3.17,119966.03,242.00,2586.00,49.82,6.13
100.00,100.00,,,6.85,1.51,0.00,0.40,20.94,79619.14,2.66,9650.00,2.56,2.62,123514.20,242.00,2586.00,49.82,6.13
100.00,100.00,,,9.09,0.91,0.00,0.43,32.09,75576.63,2.48,9130.00,2.84,2.27,105419.61,242.00,2586.00,49.82,6.13
100.00,100.00,,,13.50,0.33,0.00,0.46,58.23,72784.56,2.35,8850.00,3.05,4.98,106826.73,242.00,2586.00,49.82,6.13
100.00,100.00,,,15.33,0.30,0.00,0.60,66.67,74384.77,2.35,9000.00,3.81,1.32,109921.03,242.00,2586.00,49.82,6.13
100.00,100.00,,,16.09,0.28,0.00,0.68,70.83,76376.74,2.37,9320.00,4.16,2.00,117197.48,242.00,2586.00,49.82,6.13
100.00,100.00,,,16.45,0.27,0.00,0.80,74.77,76273.70,2.34,9490.00,4.77,3.28,113218.71,242.00,2586.00,49.82,6.13
100.00,100.00,,,,0.25,0.00,0.97,79.51,64241.79,,,6.85,-1.78,116014.60,242.00,2586.00,49.82,6.13
12.72,1.30,6.71,,82.62,0.24,0.00,0.54,69.23,591.20,6.03,1650.00,,4.46,293.61,48.00,587041.00,-18.77,46.87
14.80,1.30,6.51,,84.32,0.36,0.00,0.53,59.55,563.04,5.72,1670.00,,5.98,334.44,48.00,587041.00,-18.77,46.87
14.05,1.30,6.31,10000.00,87.35,0.33,0.00,0.54,62.07,422.23,6.37,1120.00,,-12.41,319.22,48.00,587041.00,-18.77,46.87
20.30,1.20,6.13,,84.99,0.39,0.00,0.60,60.61,524.77,6.17,1550.00,,9.78,368.80,48.00,587041.00,-18.77,46.87
15.35,1.20,5.95,8340000.00,84.44,0.47,0.00,0.63,57.27,554.30,6.06,1650.00,,5.26,284.49,48.00,587041.00,-18.77,46.87
16.00,1.10,5.78,3220000.00,84.94,0.47,0.00,0.64,57.66,521.00,5.88,1710.00,,4.76,319.54,48.00,587041.00,-18.77,46.87
16.65,1.10,5.62,7150000.00,86.03,0.50,0.00,0.63,55.75,498.27,5.67,1640.00,,5.40,338.75,48.00,587041.00,-18.77,46.87
17.30,1.10,5.47,8560000.00,86.19,0.47,0.00,0.71,60.17,516.44,5.55,1720.00,,5.71,438.66,48.00,587041.00,-18.77,46.87
17.96,1.00,6.09,2710000.00,86.14,0.54,0.00,0.69,56.10,531.47,5.45,1780.00,,6.71,536.35,48.00,587041.00,-18.77,46.87
17.40,1.00,5.95,,87.07,0.50,0.00,0.73,59.35,455.51,5.84,1690.00,,-3.98,467.54,48.00,587041.00,-18.77,46.87
12.30,0.90,6.18,,86.66,0.62,0.00,0.70,53.03,469.25,6.08,1870.00,,0.62,471.96,48.00,587041.00,-18.77,46.87
14.30,0.90,6.03,7370000.00,84.60,0.66,0.00,0.68,50.75,511.37,6.34,2190.00,,1.58,531.27,48.00,587041.00,-18.77,46.87
18.70,0.90,7.38,50000.00,83.40,0.95,0.00,0.75,44.12,587.70,6.48,2740.00,,3.01,518.15,48.00,587041.00,-18.77,46.87
12.90,0.90,7.29,2760000.00,81.17,1.04,0.00,0.81,43.78,600.29,6.70,2930.00,,2.30,541.07,48.00,587041.00,-18.77,46.87
22.24,0.90,7.21,14120000.00,80.12,1.08,0.00,0.89,45.18,635.02,6.65,3010.00,,3.34,530.86,48.00,587041.00,-18.77,46.87
23.01,0.90,7.14,4740000.00,80.55,1.11,0.00,0.95,46.12,676.74,6.68,3280.00,,3.13,467.24,48.00,587041.00,-18.77,46.87
22.90,0.90,7.03,22530000.00,83.85,1.12,0.00,0.90,44.55,691.37,7.86,3180.00,,3.99,475.96,48.00,587041.00,-18.77,46.87
24.10,0.90,6.93,27120000.00,81.32,1.40,0.00,0.80,36.36,617.70,8.03,3470.00,,3.93,515.29,48.00,587041.00,-18.77,46.87
36.50,0.90,7.51,5250000.00,83.74,1.29,0.00,0.98,43.17,579.60,8.50,3350.00,,3.19,523.95,48.00,587041.00,-18.77,46.87
31.04,0.90,7.31,43730000.00,82.77,1.10,0.00,0.91,45.27,678.70,8.56,4120.00,,4.41,522.99,48.00,587041.00,-18.77,46.87
33.74,1.00,7.12,,,1.29,0.00,0.68,34.52,447.50,,,,-7.14,471.49,48.00,587041.00,-18.77,46.87
4.80,2.10,26.90,6840000.00,82.62,0.15,0.00,1.09,87.90,606.25,5.29,710.00,,1.58,156.39,203.00,118484.00,-13.25,34.30
5.14,2.10,26.24,,83.13,0.15,0.00,1.11,88.10,581.45,5.51,680.00,,-4.97,150.15,203.00,118484.00,-13.25,34.30
5.53,2.10,25.60,,83.30,0.16,0.00,1.17,87.97,560.58,5.66,680.00,,1.70,298.43,203.00,118484.00,-13.25,34.30
6.20,2.10,24.94,510000.00,82.83,0.12,0.00,1.23,91.11,574.14,5.43,750.00,,5.71,267.40,203.00,118484.00,-13.25,34.30
6.90,2.10,24.33,60000.00,82.45,0.15,0.00,1.34,89.93,596.34,5.23,770.00,,5.42,282.57,203.00,118484.00,-13.25,34.30
6.70,2.20,23.70,60000.00,83.17,0.14,0.00,1.39,90.85,564.42,5.09,760.00,,3.27,289.56,203.00,118484.00,-13.25,34.30
3.65,2.30,23.07,50000.00,82.80,0.14,0.00,1.42,91.03,566.84,4.85,780.00,,4.70,308.16,203.00,118484.00,-13.25,34.30
7.48,2.30,22.45,60000.00,82.21,0.14,0.00,1.45,91.19,548.93,4.59,830.00,,9.60,332.26,203.00,118484.00,-13.25,34.30
7.88,2.40,21.82,,80.39,0.11,0.00,1.62,93.64,607.97,4.46,960.00,,7.64,387.61,203.00,118484.00,-13.25,34.30
8.29,2.45,21.22,70000.00,80.01,0.13,0.00,1.58,92.40,549.88,4.15,980.00,,8.33,438.21,203.00,118484.00,-13.25,34.30
8.70,2.50,20.63,15180000.00,81.21,0.13,0.00,1.83,93.37,640.53,3.86,890.00,,6.87,478.67,203.00,118484.00,-13.25,34.30
7.60,2.50,20.12,2410000.00,80.17,0.13,0.00,1.88,93.53,626.81,3.79,930.00,,4.85,534.95,203.00,118484.00,-13.25,34.30
7.40,2.40,19.61,1690000.00,80.11,0.13,0.00,1.96,93.78,611.75,3.77,950.00,,1.89,391.56,203.00,118484.00,-13.25,34.30
9.00,2.30,19.24,36020000.00,79.68,0.13,0.00,1.96,93.78,604.72,3.61,980.00,,5.20,348.43,203.00,118484.00,-13.25,34.30
11.90,2.20,22.77,1930000.00,82.70,0.13,0.00,2.08,94.12,605.32,3.38,850.00,,5.70,371.27,203.00,118484.00,-13.25,34.30
10.80,2.00,22.42,63510000.00,80.87,0.13,0.00,2.08,94.12,567.38,3.37,930.00,,2.80,380.60,203.00,118484.00,-13.25,34.30
11.00,1.80,21.84,350000.00,78.69,0.15,0.00,2.05,93.18,581.61,3.36,1120.00,,2.48,315.78,203.00,118484.00,-13.25,34.30
12.70,1.60,21.66,3860000.00,75.94,0.19,0.00,1.90,90.91,583.41,3.32,1190.00,,4.00,506.14,203.00,118484.00,-13.25,34.30
18.02,1.30,22.14,17150000.00,73.03,0.20,0.00,1.44,87.80,542.38,3.28,1380.00,,4.39,544.59,203.00,118484.00,-13.25,34.30
11.20,1.20,21.94,101610000.00,73.02,0.20,0.00,1.50,88.24,537.82,3.18,1450.00,,5.45,591.85,203.00,118484.00,-13.25,34.30
14.87,1.00,21.43,,,0.21,0.00,1.50,87.72,503.26,,,,0.80,636.82,203.00,118484.00,-13.25,34.30
99.10,98.00,119.04,141190000.00,4.44,62.91,,7.56,10.73,26639.93,5.48,124360.00,3.68,8.86,4043.66,99.00,329847.00,4.21,101.98
99.13,98.00,115.99,,4.26,69.71,,6.64,8.70,26582.33,5.67,129460.00,3.14,0.52,3913.43,99.00,329847.00,4.21,101.98
99.14,98.10,115.13,20000.00,3.57,74.78,,5.81,7.21,27303.57,5.56,136380.00,2.59,5.39,4165.73,99.00,329847.00,4.21,101.98
99.15,98.20,113.41,,3.33,77.25,,5.51,6.66,28867.15,5.63,144490.01,2.25,5.79,4461.85,99.00,329847.00,4.21,101.98
99.15,98.10,111.19,270000.00,3.22,89.30,,6.15,6.44,30459.57,5.68,158270.00,2.32,6.78,4952.21,99.00,329847.00,4.21,101.98
99.16,98.10,107.28,,3.01,91.79,,6.60,6.71,32213.14,5.85,167420.00,2.29,5.33,5587.02,99.00,329847.00,4.21,101.98
99.17,98.10,106.98,10000.00,3.13,96.31,,6.94,6.72,31831.44,5.57,174100.01,2.37,5.58,6209.13,99.00,329847.00,4.21,101.98
99.18,98.00,105.86,10000.00,2.85,101.52,,6.72,6.21,33221.49,5.59,189940.00,2.14,6.30,7243.46,99.00,329847.00,4.21,101.98
99.20,98.00,104.09,,3.04,105.01,,8.61,7.58,33712.13,5.65,202910.00,2.62,4.83,8474.59,99.00,329847.00,4.21,101.98
99.30,97.70,102.42,30000.00,2.27,107.66,,8.28,7.14,32003.47,5.42,181929.99,2.62,-1.51,7292.49,99.00,329847.00,4.21,101.98
99.37,97.70,99.15,140000.00,1.96,117.16,,7.62,6.11,32487.75,5.24,200220.00,2.33,7.42,9040.57,99.00,329847.00,4.21,101.98
99.47,97.60,135.95,60000.00,2.16,117.43,,9.60,7.56,32524.59,5.19,202740.01,2.86,5.29,10399.37,99.00,329847.00,4.21,101.98
99.80,97.40,145.91,4000000.00,2.52,123.23,,10.76,8.03,35010.12,4.99,205810.00,2.91,5.47,10817.43,99.00,329847.00,4.21,101.98
99.60,97.20,192.63,70000.00,2.75,127.86,,13.04,9.25,36062.54,5.38,223660.00,3.32,4.69,10970.10,99.00,329847.00,4.21,101.98
99.65,97.10,212.85,160000.00,3.03,133.16,,14.31,9.70,35862.22,5.18,236649.99,3.56,6.01,11319.06,99.00,329847.00,4.21,101.98
99.78,96.80,249.45,170000.00,3.41,135.17,,14.94,9.95,35878.01,4.72,236539.99,3.65,5.09,9955.24,99.00,329847.00,4.21,101.98
99.90,96.60,259.33,1290000.00,4.43,135.56,,21.09,13.46,37199.58,4.69,235960.01,4.85,4.45,9817.79,99.00,329847.00,4.21,101.98
99.95,96.50,235.74,50000.00,5.22,132.70,,27.94,17.39,37162.89,4.28,227620.00,6.29,5.81,10259.30,99.00,329847.00,4.21,101.98
99.99,96.10,239.17,60000.00,5.31,142.27,,28.31,16.60,37333.03,4.50,244410.00,6.25,4.84,11380.08,99.00,329847.00,4.21,101.98
100.00,95.80,251.85,20000.00,5.11,149.70,,28.76,16.12,37823.50,4.25,253270.00,6.18,4.44,11432.82,99.00,329847.00,4.21,101.98
100.00,95.50,268.76,,,138.77,,30.54,18.04,35997.36,,,7.16,-5.65,10412.35,99.00,329847.00,4.21,101.98
83.80,53.10,0.00,4770000.00,2.34,0.10,0.00,0.00,0.00,10129.74,1.74,460.00,,3.85,2234.60,1802.00,298.00,3.20,73.22
87.49,58.60,0.00,,2.26,0.11,0.00,0.00,0.00,8351.58,1.85,480.00,,-3.94,3038.78,1802.00,298.00,3.20,73.22
88.36,63.70,0.00,,1.78,0.12,0.00,0.00,0.00,9816.17,2.20,620.00,,7.27,3049.21,1802.00,298.00,3.20,73.22
89.22,68.90,0.00,,2.22,0.13,0.00,0.00,0.00,8392.21,1.66,530.00,,13.75,3476.01,1802.00,298.00,3.20,73.22
90.09,74.00,0.00,,1.67,0.15,0.00,0.00,0.00,10799.32,2.07,750.00,,6.03,3941.43,1802.00,298.00,3.20,73.22
90.95,78.70,0.04,,1.95,0.17,0.00,0.00,0.00,9621.82,2.16,720.00,,-13.13,3640.01,1802.00,298.00,3.20,73.22
91.81,82.90,0.19,,1.59,0.20,0.00,0.00,0.00,11906.83,2.16,870.00,,26.11,4809.93,1802.00,298.00,3.20,73.22
92.68,86.15,0.26,,1.52,0.23,0.00,0.00,0.00,11930.13,2.06,870.00,,7.71,5574.40,1802.00,298.00,3.20,73.22
93.56,89.00,4.36,110000.00,1.53,0.26,0.00,0.00,0.00,12517.40,2.02,870.00,,9.49,6614.24,1802.00,298.00,3.20,73.22
99.90,91.25,4.63,450000.00,1.49,0.28,0.00,0.00,0.00,12835.75,2.29,910.00,,-7.23,6636.54,1802.00,298.00,3.20,73.22
99.16,93.30,4.53,9710000.00,1.36,0.34,0.00,0.00,0.00,12524.81,2.25,960.00,,7.27,7076.74,1802.00,298.00,3.20,73.22
99.28,94.80,4.41,10000.00,1.34,0.36,0.00,0.00,0.00,13070.63,2.19,1010.00,,8.57,7291.47,1802.00,298.00,3.20,73.22
99.39,95.90,7.09,30000.00,1.20,0.39,0.00,0.00,0.00,16088.85,2.40,1140.00,,2.52,7265.72,1802.00,298.00,3.20,73.22
99.47,96.60,7.81,,1.26,0.40,0.00,0.00,0.00,16413.82,2.21,1130.00,,7.28,7928.48,1802.00,298.00,3.20,73.22
100.00,97.30,12.72,42590000.00,1.20,0.50,0.00,0.01,1.96,21157.41,2.47,1370.00,,7.33,8499.31,1802.00,298.00,3.20,73.22
99.71,97.90,12.20,6210000.00,1.38,0.56,0.00,0.01,1.75,15149.08,2.40,1370.00,,2.88,9033.41,1802.00,298.00,3.20,73.22
100.00,98.30,17.33,10000.00,1.21,0.60,0.00,0.01,1.64,15410.75,2.47,1760.00,,6.34,9209.44,1802.00,298.00,3.20,73.22
99.80,98.60,22.03,20000.00,1.25,0.60,0.00,0.02,3.23,15375.79,2.42,1860.00,,7.21,9577.35,1802.00,298.00,3.20,73.22
100.00,98.80,21.21,5690000.00,1.12,0.61,0.00,0.03,4.69,17020.91,2.56,2100.00,,8.12,10279.08,1802.00,298.00,3.20,73.22
100.00,99.00,27.89,4020000.00,1.11,0.61,0.00,0.03,4.69,18567.90,2.69,2110.00,,6.88,10561.61,1802.00,298.00,3.20,73.22
100.00,99.20,31.10,,,0.57,0.00,0.04,6.56,17308.59,,,,-33.50,6924.11,1802.00,298.00,3.20,73.22
9.59,0.70,7.75,3560000.00,83.47,0.14,0.00,0.25,64.10,391.75,4.82,1410.00,,-0.06,270.54,17.00,1240192.00,17.57,-4.00
10.80,0.80,7.54,10190000.00,82.10,0.15,0.00,0.25,62.50,384.58,4.38,1610.00,,15.38,307.70,17.00,1240192.00,17.57,-4.00
13.06,0.80,24.57,10000.00,83.58,0.15,0.00,0.26,63.41,360.91,4.73,1400.00,,3.11,336.42,17.00,1240192.00,17.57,-4.00
14.78,0.80,23.85,20000.00,85.79,0.17,0.00,0.26,60.47,350.71,4.77,1400.00,,9.12,393.41,17.00,1240192.00,17.57,-4.00
16.51,0.80,23.15,60000.00,81.53,0.18,0.00,0.28,60.87,353.04,5.00,1480.00,,1.56,440.96,17.00,1240192.00,17.57,-4.00
18.23,0.80,22.44,5950000.00,82.33,0.29,0.00,0.49,62.82,378.32,4.79,1650.00,,6.53,489.02,17.00,1240192.00,17.57,-4.00
16.60,0.90,21.77,31390000.00,81.65,0.31,0.00,0.53,63.10,429.56,4.70,1890.00,,4.66,523.04,17.00,1240192.00,17.57,-4.00
21.68,0.90,21.13,100000.00,78.87,0.31,0.00,0.52,62.65,489.21,4.84,2070.00,,3.49,597.48,17.00,1240192.00,17.57,-4.00
23.41,0.90,20.47,50000.00,74.99,0.37,0.00,0.63,63.00,565.23,4.73,2080.00,,4.77,697.09,17.00,1240192.00,17.57,-4.00
24.03,0.90,19.81,38440000.00,78.68,0.39,0.00,0.73,65.18,691.58,4.77,2510.00,,4.81,701.72,17.00,1240192.00,17.57,-4.00
26.91,0.90,19.37,20000.00,79.24,0.53,0.00,1.18,69.01,757.35,4.88,2780.00,,5.31,710.27,17.00,1240192.00,17.57,-4.00
28.68,0.90,19.00,230000.00,78.85,0.66,0.00,1.24,65.26,804.07,5.12,3120.00,,3.21,837.61,17.00,1240192.00,17.57,-4.00
25.60,0.80,18.82,170000.00,78.70,0.89,0.00,1.37,60.62,830.40,5.52,3110.00,,-0.84,778.63,17.00,1240192.00,17.57,-4.00
32.29,0.90,22.07,445280000.00,80.92,1.04,0.00,1.24,54.39,830.25,5.58,3220.00,,2.30,805.03,17.00,1240192.00,17.57,-4.00
34.11,0.90,21.93,99900000.00,80.93,0.85,0.00,1.51,63.98,899.24,5.44,3380.00,,7.08,848.28,17.00,1240192.00,17.57,-4.00
37.60,0.90,21.36,9440000.00,79.93,1.05,0.00,1.27,54.74,952.78,5.23,3650.00,,6.17,751.47,17.00,1240192.00,17.57,-4.00
38.79,0.90,20.75,50960000.00,76.16,1.15,0.00,1.62,58.48,1172.19,5.02,4670.00,,5.85,780.72,17.00,1240192.00,17.57,-4.00
34.78,0.90,20.23,7520000.00,76.37,1.64,0.00,1.65,50.15,1234.19,4.90,5180.00,,5.31,830.02,17.00,1240192.00,17.57,-4.00
50.90,0.90,19.63,20870000.00,76.61,1.97,0.00,1.56,44.19,1243.77,4.76,5470.00,,4.75,894.80,17.00,1240192.00,17.57,-4.00
47.84,0.90,19.06,44950000.00,76.64,2.15,0.00,1.17,35.24,1231.72,4.59,5830.00,,4.76,879.04,17.00,1240192.00,17.57,-4.00
50.56,0.90,20.98,,,2.04,0.00,1.16,36.25,1142.88,,,,-1.24,862.45,17.00,1240192.00,17.57,-4.00
100.00,100.00,,,0.00,1.92,0.00,0.00,0.00,46378.05,2.64,2130.00,,19.68,10432.33,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.00,1.94,0.00,0.00,0.00,50713.89,3.11,2490.00,,-1.17,10402.23,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.09,2.05,0.00,0.00,0.00,49170.39,2.83,2320.00,,2.57,11289.89,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.10,2.24,0.00,0.00,0.00,56833.48,3.06,2610.00,,4.07,13669.50,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.12,2.22,0.00,0.00,0.00,59390.21,3.07,2600.00,,0.14,15197.06,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.14,2.24,0.00,0.00,0.00,50493.63,3.04,2630.00,,3.38,15888.17,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.17,2.26,0.00,0.00,0.00,51478.54,2.97,2650.00,,2.51,16723.88,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.20,2.30,0.00,0.00,0.00,55957.79,2.89,2720.00,,4.77,19485.87,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.22,2.31,0.00,0.00,0.00,57768.11,2.83,2720.00,,3.83,22205.36,1380.00,316.00,35.94,14.38
100.00,100.00,,,0.26,2.17,0.00,0.00,0.00,61249.00,2.61,2510.00,,-1.13,21083.28,1380.00,316.00,35.94,14.38
100.00,100.00,,,1.22,2.11,0.00,0.00,0.00,72549.08,2.58,2590.00,,5.54,21799.17,1380.00,316.00,35.94,14.38
100.00,100.00,,,1.97,2.17,0.00,0.00,0.00,68190.57,2.55,2570.00,,0.47,23155.55,1380.00,316.00,35.94,14.38
100.00,100.00,,,2.67,2.27,0.00,0.03,1.30,64067.15,2.60,2720.00,,4.12,22527.64,1380.00,316.00,35.94,14.38
100.00,100.00,,,3.24,2.22,0.00,0.04,1.77,59756.48,2.16,2370.00,,5.47,24771.08,1380.00,316.00,35.94,14.38
100.00,100.00,,,4.48,2.17,0.00,0.08,3.56,59933.56,2.01,2360.00,,7.63,26754.27,1380.00,316.00,35.94,14.38
100.00,100.00,,,5.98,1.20,0.00,0.10,7.69,64130.96,1.52,1660.00,,9.61,24921.60,1380.00,316.00,35.94,14.38
100.00,100.00,,,9.22,0.72,0.00,0.14,16.28,69591.95,1.35,1350.00,,4.09,25741.45,1380.00,316.00,35.94,14.38
100.00,100.00,,,7.27,1.48,0.00,0.17,10.30,77316.09,1.42,1520.00,,8.12,28250.70,1380.00,316.00,35.94,14.38
100.00,100.00,,,7.54,1.77,0.00,0.20,10.15,78729.38,1.36,1550.00,,5.18,30672.29,1380.00,316.00,35.94,14.38
100.00,100.00,,,7.70,1.86,0.00,0.21,10.14,80081.51,1.37,1660.00,,5.54,30186.20,1380.00,316.00,35.94,14.38
100.00,100.00,,,,1.90,0.00,0.25,11.63,72065.46,,,,-7.00,27884.64,1380.00,316.00,35.94,14.38
18.75,29.60,0.00,,44.41,0.20,0.00,0.03,13.04,1872.36,2.50,1270.00,,-3.92,676.57,5.00,1030700.00,21.01,-10.94
22.20,31.40,0.00,200000.00,44.18,0.24,0.00,0.03,11.11,1906.99,2.62,1400.00,,-0.80,646.12,5.00,1030700.00,21.01,-10.94
21.50,33.20,0.00,,42.13,0.47,0.00,0.03,6.00,2004.12,2.73,1550.00,,1.38,639.67,5.00,1030700.00,21.01,-10.94
22.87,34.50,0.00,,40.17,0.43,0.00,0.04,8.51,2054.25,2.64,1480.00,,6.93,717.90,5.00,1030700.00,21.01,-10.94
24.24,36.10,0.00,,38.59,0.47,0.00,0.04,7.84,2161.62,2.66,1640.00,,4.73,803.78,5.00,1030700.00,21.01,-10.94
18.20,37.70,0.00,,38.77,0.45,0.00,0.05,10.00,2206.72,2.53,1510.00,,8.57,970.84,5.00,1030700.00,21.01,-10.94
26.97,38.70,0.00,24330000.00,39.12,0.40,0.00,0.05,11.11,2100.96,2.15,1730.00,,18.33,1259.54,5.00,1030700.00,21.01,-10.94
33.04,39.80,0.00,70000.00,35.63,0.42,0.00,0.05,10.64,2318.16,2.39,1990.00,,-1.97,1357.12,5.00,1030700.00,21.01,-10.94
30.00,40.90,0.00,,35.80,0.49,0.00,0.06,10.91,2781.53,2.54,1900.00,,-0.33,1579.51,5.00,1030700.00,21.01,-10.94
31.12,41.30,0.00,,33.43,0.47,0.00,0.11,18.97,2688.01,2.74,2350.00,,0.10,1389.34,5.00,1030700.00,21.01,-10.94
33.96,41.80,0.00,,34.00,0.52,0.00,0.12,18.75,2594.66,2.75,2400.00,,2.62,1610.92,5.00,1030700.00,21.01,-10.94
35.17,42.60,0.00,10000.00,33.28,0.70,0.00,0.13,15.66,2710.17,2.76,2460.00,,4.17,1879.77,5.00,1030700.00,21.01,-10.94
36.36,42.70,0.00,67620000.00,31.84,0.77,0.00,0.14,15.38,2906.24,2.81,2730.00,,4.47,1815.22,5.00,1030700.00,21.01,-10.94
37.54,43.00,5.87,68690000.00,35.02,0.73,0.00,0.21,22.34,2568.12,2.53,2590.00,,4.15,1892.09,5.00,1030700.00,21.01,-10.94
38.80,43.10,5.74,6040000.00,30.92,0.76,0.00,0.22,22.45,2994.49,2.75,2900.00,,4.27,1677.11,5.00,1030700.00,21.01,-10.94
39.50,43.10,12.99,120000.00,28.20,0.82,0.00,0.32,28.07,2955.33,2.94,3560.00,,5.38,1524.07,5.00,1030700.00,21.01,-10.94
41.32,43.30,16.61,178260000.00,31.66,0.92,0.00,0.29,23.97,2687.67,2.68,3260.00,,1.26,1536.85,5.00,1030700.00,21.01,-10.94
42.90,43.20,16.15,18440000.00,26.54,1.18,0.00,0.33,21.85,3923.38,3.13,3490.00,,6.27,1587.61,5.00,1030700.00,21.01,-10.94
44.31,43.30,27.53,10000.00,25.17,1.26,0.00,0.43,25.44,4074.37,3.35,3690.00,,4.53,1670.20,5.00,1030700.00,21.01,-10.94
45.83,43.00,26.94,1000000.00,24.70,1.36,0.00,0.46,25.27,4149.23,3.24,3950.00,,5.76,1743.30,5.00,1030700.00,21.01,-10.94
47.35,42.60,26.22,,,1.29,0.00,0.48,27.12,3884.78,,,,-1.76,1701.99,5.00,1030700.00,21.01,-10.94
99.00,93.60,111.33,,20.42,1.40,0.00,0.28,16.67,13215.60,3.00,2430.00,,8.20,3929.08,626.00,2040.00,-20.35,57.55
99.26,94.10,120.31,,20.08,1.49,0.00,0.31,17.22,13385.31,3.05,2570.00,,3.35,3856.63,626.00,2040.00,-20.35,57.55
99.40,94.70,119.52,,17.93,1.52,0.00,0.33,17.84,13056.47,2.97,2610.00,,1.61,4018.95,626.00,2040.00,-20.35,57.55
99.19,95.05,118.81,,18.90,1.61,0.00,0.37,18.69,13249.85,2.94,2750.00,,5.93,4793.72,626.00,2040.00,-20.35,57.55
99.14,95.50,118.32,,19.08,1.68,0.00,0.37,18.05,13567.28,2.87,2770.00,,4.33,5388.07,626.00,2040.00,-20.35,57.55
99.09,95.80,117.54,,17.65,1.52,0.00,0.62,28.97,14451.10,2.92,2960.00,,1.78,5282.91,626.00,2040.00,-20.35,57.55
99.05,96.10,116.93,,16.41,1.87,0.00,0.35,15.77,15004.64,2.97,3300.00,,4.87,5695.97,626.00,2040.00,-20.35,57.55
